bhk, rent, advance, lat, long
2, 15000, 148800, 12.90649, 77.51395
1, 12500, 106500, 12.88888, 77.61472
3, 17100, 63400, 12.92243, 77.58535
1, 8200, 74200, 12.96124, 77.53882
2, 29200, 83400, 12.88971, 77.53747
1, 28300, 59900, 12.97344, 77.62102
1, 22800, 78000, 13.00546, 77.53996
2, 19300, 80100, 12.92467, 77.56463
2, 16900, 109000, 12.93389, 77.53253
2, 17500, 137700, 12.92228, 77.54099
3, 20200, 91300, 12.87153, 77.51109
1, 14400, 41200, 12.86991, 77.58917
1, 14700, 44100, 12.87085, 77.53634
2, 10100, 83900, 12.89688, 77.61898
3, 19400, 107700, 12.97436, 77.52363
3, 27700, 118500, 12.97089, 77.5436
2, 16700, 130500, 13.00079, 77.53916
1, 9800, 148900, 12.959, 77.58871
2, 25600, 52500, 12.95927, 77.61493
2, 24900, 100900, 12.8628, 77.53408
2, 18900, 75700, 12.91162, 77.5097
2, 13300, 142100, 12.98246, 77.571
2, 19500, 55200, 12.89855, 77.57104
3, 13500, 87000, 12.96305, 77.59184
3, 11300, 140400, 12.88704, 77.51531
3, 26000, 56300, 12.99705, 77.58329
3, 14000, 133300, 12.91836, 77.59126
3, 9500, 55400, 12.99574, 77.58696
3, 13700, 115400, 12.91509, 77.55904
3, 15400, 92900, 12.91436, 77.56919
1, 14600, 96700, 12.88217, 77.54306
1, 22000, 149800, 12.8812, 77.51068
1, 16800, 138300, 12.91893, 77.62622
1, 11300, 46800, 12.91685, 77.61824
1, 27600, 146600, 12.94877, 77.61121
3, 21100, 128700, 13.00457, 77.51763
1, 13900, 71700, 13.0015, 77.61375
3, 12000, 137000, 12.87861, 77.58825
2, 25400, 134300, 12.99481, 77.57105
1, 24700, 59600, 12.87914, 77.62375
1, 13000, 46500, 12.93057, 77.51795
2, 22900, 46100, 12.91267, 77.62643
2, 23500, 122000, 12.91015, 77.58723
3, 27300, 64100, 12.94953, 77.57093
1, 10300, 41900, 12.92754, 77.57464
2, 26800, 100200, 12.93009, 77.54534
1, 15600, 132700, 12.99941, 77.50294
1, 22800, 64900, 12.95482, 77.61651
3, 27300, 91700, 12.94711, 77.52363
2, 22800, 149700, 12.87001, 77.53058
1, 12400, 72000, 12.87431, 77.55556
2, 21300, 86000, 12.95663, 77.62515
2, 9200, 93900, 12.91218, 77.61124
3, 8400, 132400, 12.97128, 77.60281
2, 9600, 93300, 12.93439, 77.59496
1, 11800, 55600, 12.95387, 77.50987
2, 17500, 62900, 12.88911, 77.61719
1, 26700, 119900, 12.99948, 77.58579
3, 28100, 113000, 12.87389, 77.59533
2, 24300, 80500, 12.93413, 77.61982
3, 29900, 122800, 12.94608, 77.51309
3, 21100, 89800, 12.89521, 77.52122
3, 26300, 116400, 12.94239, 77.55917
3, 15000, 144300, 12.90373, 77.52533
1, 26600, 42100, 12.99256, 77.60784
1, 12800, 73500, 12.89911, 77.57706
3, 9500, 94500, 12.92517, 77.53801
1, 23000, 130100, 12.88147, 77.55757
3, 25700, 67500, 12.92687, 77.58241
1, 21600, 93300, 12.9835, 77.57389
1, 9200, 72600, 12.93261, 77.50461
1, 8100, 70900, 12.88524, 77.5622
3, 9900, 140100, 12.90816, 77.56437
1, 16300, 50700, 12.97503, 77.55061
1, 13300, 81400, 12.96967, 77.52509
1, 11100, 44300, 12.9262, 77.58236
2, 23500, 52700, 12.9805, 77.55319
1, 21900, 83400, 12.90446, 77.5611
3, 10000, 63600, 12.93107, 77.60152
2, 15000, 83300, 12.89193, 77.58151
1, 14900, 119200, 12.90744, 77.61795
2, 29400, 53600, 12.97009, 77.60499
2, 9500, 142600, 12.93012, 77.53254
3, 9400, 84200, 12.89271, 77.54695
3, 27200, 63500, 12.99273, 77.50643
2, 25400, 106100, 12.96711, 77.61734
2, 19500, 134100, 12.96376, 77.58939
2, 17800, 131200, 12.87207, 77.56572
2, 14900, 124600, 12.91501, 77.51918
1, 24000, 67800, 12.93995, 77.50277
2, 9800, 143500, 12.92313, 77.61928
2, 11200, 51300, 12.87985, 77.51106
1, 27700, 117300, 12.97037, 77.54897
2, 28500, 114200, 12.98276, 77.57747
1, 8700, 83900, 12.90324, 77.5662
3, 10000, 139400, 12.94769, 77.59
3, 26500, 97000, 12.95374, 77.62957
1, 26100, 142500, 12.93463, 77.52266
2, 20700, 73500, 12.86339, 77.60352
1, 12800, 68500, 12.86229, 77.61967
1, 8000, 48300, 12.87922, 77.53784
1, 12400, 101300, 12.89376, 77.51081
1, 9400, 131800, 12.91778, 77.61378
1, 28700, 49900, 12.95631, 77.57014
3, 29700, 84800, 12.85958, 77.57252
3, 8800, 147500, 12.90915, 77.5136
2, 28200, 134600, 12.95916, 77.59148
1, 29800, 131800, 12.8821, 77.62055
3, 18400, 118700, 12.89883, 77.52917
3, 24900, 86600, 13.00756, 77.58162
1, 19200, 86300, 12.90283, 77.60904
3, 21500, 76200, 12.88093, 77.61862
2, 22200, 139100, 12.8717, 77.5821
2, 28900, 45700, 12.99654, 77.62934
3, 23300, 44700, 12.9556, 77.60475
2, 19600, 90400, 12.96257, 77.57749
1, 15500, 88200, 12.92789, 77.59457
1, 19000, 94500, 12.87628, 77.56469
3, 15500, 96700, 12.88071, 77.62889
3, 16500, 81500, 12.89601, 77.55699
3, 25900, 77800, 12.88932, 77.60351
2, 13600, 95000, 12.89654, 77.53213
2, 29600, 72000, 12.883, 77.53582
2, 9700, 125300, 12.97126, 77.57333
2, 19800, 133600, 12.96683, 77.52571
2, 16100, 49200, 12.9664, 77.51776
2, 23500, 47900, 12.94173, 77.60933
1, 26500, 106200, 12.95275, 77.59466
1, 27600, 94000, 12.92743, 77.50413
1, 23600, 107600, 12.91037, 77.59758
1, 27900, 111800, 12.87117, 77.62523
1, 10000, 100600, 12.91293, 77.6299
2, 16500, 43700, 12.86612, 77.50141
2, 18300, 93300, 12.94168, 77.52303
2, 19600, 145000, 12.9796, 77.54217
3, 26400, 103800, 12.95705, 77.5581
1, 9100, 89600, 13.00777, 77.62195
3, 14100, 119600, 12.96649, 77.60228
3, 25800, 87800, 12.91405, 77.5578
1, 20800, 100600, 12.97277, 77.537
2, 25500, 148600, 12.89563, 77.53013
1, 18400, 102000, 12.95062, 77.56281
1, 14500, 42400, 12.8849, 77.52153
1, 19800, 82300, 12.99413, 77.59121
3, 17600, 42200, 12.98782, 77.51389
3, 23400, 73100, 12.9981, 77.50788
1, 26300, 89000, 12.94694, 77.61272
3, 18000, 129900, 12.9973, 77.52719
2, 16200, 99200, 12.89082, 77.62357
2, 24000, 84200, 12.9243, 77.58432
3, 13400, 40400, 12.95095, 77.60324
2, 16600, 86900, 12.9452, 77.58262
2, 16700, 43000, 12.95174, 77.51561
1, 12500, 84300, 12.96906, 77.61362
3, 11800, 148900, 12.89858, 77.59325
1, 16000, 103600, 12.9512, 77.51248
3, 17600, 112200, 12.88146, 77.58865
1, 27600, 45000, 12.92933, 77.5455
2, 14000, 97300, 12.8601, 77.54526
2, 15800, 101000, 12.94667, 77.57189
1, 21500, 126000, 13.00172, 77.5432
3, 28800, 88200, 12.9185, 77.56213
2, 23500, 86200, 12.90227, 77.50556
1, 29100, 62900, 13.00121, 77.50726
1, 16900, 128000, 12.88196, 77.5618
1, 18100, 67700, 12.98112, 77.53965
1, 17400, 114100, 12.90952, 77.58806
3, 19600, 105400, 12.86874, 77.61196
3, 8400, 143800, 12.98798, 77.57832
2, 24100, 51800, 12.87379, 77.51765
1, 12100, 103600, 12.90447, 77.60439
3, 9800, 63800, 12.89749, 77.56806
3, 21300, 61400, 12.93377, 77.56542
2, 9100, 66200, 12.93577, 77.57516
1, 11200, 132100, 12.87158, 77.52889
2, 16300, 85000, 12.97313, 77.62385
2, 22100, 113000, 12.97527, 77.5759
2, 24000, 121600, 13.00655, 77.61547
1, 24200, 54400, 12.92899, 77.50548
3, 18100, 61000, 12.89189, 77.61025
3, 8100, 121700, 12.99454, 77.55346
3, 8700, 49000, 12.88465, 77.6208
3, 29600, 81100, 12.95294, 77.598
3, 27000, 98000, 12.95274, 77.53945
3, 20800, 59800, 12.89115, 77.60036
3, 29700, 116400, 12.95235, 77.60148
3, 13900, 124100, 12.89586, 77.61066
3, 21700, 77300, 12.93313, 77.55315
2, 15600, 115000, 12.98319, 77.5731
2, 20600, 104400, 12.89979, 77.54183
2, 15100, 123900, 12.9966, 77.61062
1, 26400, 128900, 12.9834, 77.52971
2, 18500, 127400, 12.96371, 77.62374
1, 25300, 73300, 12.99326, 77.62982
2, 11100, 75000, 12.97754, 77.51903
1, 24900, 60700, 13.00498, 77.5405
1, 10900, 148800, 12.94872, 77.54115
1, 15700, 78300, 12.89866, 77.50225
2, 9300, 69400, 12.91981, 77.59668
2, 29200, 77400, 12.95839, 77.62271
2, 10100, 102800, 12.87617, 77.52299
3, 18400, 47400, 12.8994, 77.57387
3, 16800, 114700, 12.93095, 77.5354
3, 13900, 54900, 12.97271, 77.51129
2, 13600, 136500, 12.92822, 77.55404
3, 29700, 80400, 12.97713, 77.58007
3, 17600, 125700, 12.91495, 77.50596
2, 15700, 48600, 12.94805, 77.57876
3, 23700, 142000, 12.90056, 77.50535
1, 20100, 88600, 12.96842, 77.53736
1, 8500, 148100, 12.96039, 77.5778
3, 23800, 96300, 12.96961, 77.60276
1, 21900, 52400, 12.8639, 77.56299
1, 28100, 46900, 12.87547, 77.55811
1, 10600, 85200, 12.88749, 77.60503
3, 15400, 90000, 12.97509, 77.534
1, 12200, 95000, 12.92366, 77.52537
1, 12100, 124300, 13.006, 77.57435
3, 20300, 83800, 12.86454, 77.53798
3, 27600, 148700, 13.00497, 77.5148
1, 9200, 123700, 12.9351, 77.50381
2, 15400, 116000, 12.93587, 77.53893
3, 29600, 139100, 12.93391, 77.5434
2, 18000, 117600, 12.89449, 77.52686
3, 8100, 51800, 12.9295, 77.56325
2, 16200, 139400, 12.98955, 77.57762
3, 10900, 60900, 12.96709, 77.51881
3, 29000, 61900, 12.87263, 77.54015
1, 18700, 75900, 12.90625, 77.52075
1, 23000, 57900, 12.89225, 77.50832
2, 8700, 134300, 12.97727, 77.61075
3, 16400, 100400, 12.97402, 77.50745
3, 15500, 102400, 13.00675, 77.57004
3, 11400, 101100, 12.89865, 77.61665
1, 14000, 112400, 12.99032, 77.59965
1, 24800, 72900, 12.95601, 77.58465
3, 21900, 141100, 12.86565, 77.62412
3, 18700, 140600, 12.93621, 77.57529
3, 24500, 140300, 12.95918, 77.55156
2, 24900, 146900, 12.98491, 77.59267
3, 27300, 123200, 12.99473, 77.61399
3, 15500, 110400, 12.96491, 77.5103
2, 13500, 85800, 12.90729, 77.60523
2, 25100, 111000, 12.9409, 77.57608
2, 16000, 142100, 12.96086, 77.51455
3, 10700, 120300, 12.87037, 77.57595
3, 20000, 133000, 12.91612, 77.63066
1, 24600, 134200, 12.97079, 77.52254
1, 22500, 129100, 12.85947, 77.58933
2, 25000, 131300, 12.90594, 77.57146
2, 15300, 63000, 12.98472, 77.56513
1, 8600, 108600, 12.9555, 77.54109
1, 27200, 41400, 12.98591, 77.53609
3, 27000, 128300, 12.89312, 77.61778
3, 11400, 68400, 12.87958, 77.61905
2, 28400, 142900, 12.91862, 77.58207
2, 20300, 75200, 12.88081, 77.58318
3, 11200, 140300, 12.97057, 77.60003
2, 12600, 131600, 12.86125, 77.55959
3, 14100, 88000, 12.88332, 77.62117
3, 25200, 134400, 12.99526, 77.61005
3, 26200, 57400, 12.96171, 77.54746
1, 25500, 122300, 12.89241, 77.58249
1, 19100, 138600, 12.99415, 77.60605
3, 29000, 129000, 12.98108, 77.62727
1, 13000, 104100, 12.97971, 77.50681
2, 9300, 46500, 12.87328, 77.52504
2, 25600, 80200, 13.0065, 77.51583
2, 12600, 99600, 12.93683, 77.54023
2, 16900, 135300, 12.87554, 77.54033
1, 25900, 84500, 12.93318, 77.51029
2, 10200, 54500, 12.92636, 77.54102
2, 10700, 141100, 12.86014, 77.53117
1, 21200, 55700, 12.88232, 77.50365
1, 14500, 64800, 12.96546, 77.55687
2, 15800, 61400, 12.86202, 77.58612
1, 25600, 68100, 12.9142, 77.57506
2, 27900, 83800, 12.88151, 77.54706
1, 26000, 133300, 12.86399, 77.55057
2, 10100, 65900, 12.87406, 77.61252
1, 25700, 145000, 12.87451, 77.53391
1, 24900, 60000, 12.99383, 77.54494
1, 25900, 139600, 12.97319, 77.56283
2, 15400, 43400, 12.89481, 77.62783
1, 9200, 102700, 12.88284, 77.52992
2, 29200, 67000, 12.89663, 77.54123
3, 23900, 124900, 12.89817, 77.54481
3, 16500, 84500, 12.87387, 77.59058
